latitude,longitude,altitude,geometry
55.737157,37.433445,,Point
55.544525,37.541988,,Point
56.349814,37.529484,,Point
55.862181,37.560457,,Point
55.882071,37.52686,,Point
55.663294,37.47033,,Point
55.885014,37.643615,,Point
55.783397,37.635098,,Point
55.783397,37.635098,,Point
55.587667,37.673537,,Point
55.655651,37.575109,,Point
55.780213,37.471623,,Point
55.834785,37.519602,,Point
55.822615,37.653361,,Point
55.65305,37.576519,,Point
55.65305,37.576519,,Point
55.813344,37.400243,,Point
55.708318,37.670268,,Point
55.708318,37.670268,,Point
55.708318,37.670268,,Point
55.718106,37.399057,,Point
55.718106,37.399057,,Point
55.599626,37.53632,,Point
55.659312,37.492527,,Point
55.863343,37.586958,,Point
55.704286,37.937525,,Point
55.704286,37.937525,,Point
55.704286,37.937525,,Point
55.67959,37.75002,,Point
55.67959,37.75002,,Point
55.879132,37.454726,,Point
55.879132,37.454726,,Point
55.879132,37.454726,,Point
55.879132,37.454726,,Point
55.879132,37.454726,,Point
55.879132,37.454726,,Point
55.879132,37.454726,,Point
55.7571,37.71371,,Point
55.7571,37.71371,,Point
55.698386,37.782826,,Point
55.698386,37.782826,,Point
55.801313,37.634326,,Point
55.801313,37.634326,,Point
55.801313,37.634326,,Point
55.801313,37.634326,,Point
55.801313,37.634326,,Point
55.855083,37.660054,,Point
55.855083,37.660054,,Point
55.855083,37.660054,,Point
55.855083,37.660054,,Point
55.855083,37.660054,,Point
55.855083,37.660054,,Point
55.855083,37.660054,,Point
55.855083,37.660054,,Point
55.80608,37.610853,,Point
55.80608,37.610853,,Point
55.802922,37.547504,,Point
55.601442,37.71053,,Point
55.601442,37.71053,,Point
55.779864,37.494755,,Point
55.852864,37.418712,,Point
55.852864,37.418712,,Point
55.852864,37.418712,,Point
55.852864,37.418712,,Point
55.852864,37.418712,,Point
55.875763,37.393604,,Point
55.775692,37.464266,,Point
55.884514,37.538098,,Point
55.884514,37.538098,,Point
55.884514,37.538098,,Point
55.874243,37.549444,,Point
55.874243,37.549444,,Point
55.874243,37.549444,,Point
55.874243,37.549444,,Point
55.890527,37.660961,,Point
55.564434,37.582484,,Point
55.868112,37.589078,,Point
55.868112,37.589078,,Point
55.870693,37.550846,,Point
55.888972,37.655553,,Point
55.816318,37.489149,,Point
55.722984,37.79172,,Point
55.842469,37.420904,,Point
55.842469,37.420904,,Point
55.842469,37.420904,,Point
55.598909,37.593462,,Point
55.606563,37.591485,,Point
55.606563,37.591485,,Point
55.73107,37.457529,,Point
55.73107,37.457529,,Point
55.73107,37.457529,,Point
55.73107,37.457529,,Point
54.976307,37.271775,,Point
55.593176,37.611104,,Point
55.778806,37.638198,,Point
55.78973,37.807315,,Point
55.78973,37.807315,,Point
55.759638,37.804629,,Point
55.759638,37.804629,,Point
55.759638,37.804629,,Point
55.759638,37.804629,,Point
55.787832,37.732494,,Point
55.833718,37.592168,,Point
55.986229,37.162746,,Point
55.986229,37.162746,,Point
55.986229,37.162746,,Point
55.817375,37.657116,,Point
55.817375,37.657116,,Point
55.827808,37.582349,,Point
55.827808,37.582349,,Point
55.827808,37.582349,,Point
55.827808,37.582349,,Point
55.827808,37.582349,,Point
55.827808,37.582349,,Point
55.827808,37.582349,,Point
55.827808,37.582349,,Point
55.827808,37.582349,,Point
55.903973,37.591297,,Point
55.903973,37.591297,,Point
55.903973,37.591297,,Point
55.903973,37.591297,,Point
55.903973,37.591297,,Point
55.903973,37.591297,,Point
55.903973,37.591297,,Point
55.903973,37.591297,,Point
55.903973,37.591297,,Point
55.903973,37.591297,,Point
55.903973,37.591297,,Point
55.871673,37.556613,,Point
55.872597,37.555409,,Point
55.872375,37.552229,,Point
55.859837,37.56317,,Point
55.833562,37.504915,,Point
55.860792,37.563072,,Point
55.99211,37.188052,,Point
55.602225,37.616207,,Point
55.602225,37.616207,,Point
55.602225,37.616207,,Point
55.602225,37.616207,,Point
55.602225,37.616207,,Point
55.602225,37.616207,,Point
55.602225,37.616207,,Point
55.602225,37.616207,,Point
55.602225,37.616207,,Point
55.602225,37.616207,,Point
55.602225,37.616207,,Point
55.602225,37.616207,,Point
55.602225,37.616207,,Point
55.720793,37.785737,,Point
55.862894,37.673259,,Point
55.60815,37.610431,,Point
55.513209,37.568821,,Point
55.842696,37.361508,,Point
55.644846,37.342364,,Point
55.644846,37.342364,,Point
55.644846,37.342364,,Point
55.644846,37.342364,,Point
55.776502,37.53711,,Point
55.827575,37.667905,,Point
55.827575,37.667905,,Point
55.827575,37.667905,,Point
55.593726,37.53826,,Point
55.593726,37.53826,,Point
55.593726,37.53826,,Point
55.593726,37.53826,,Point
55.593726,37.53826,,Point
55.593726,37.53826,,Point
55.593726,37.53826,,Point
55.593726,37.53826,,Point
55.593726,37.53826,,Point
55.593726,37.53826,,Point
55.593726,37.53826,,Point
55.593726,37.53826,,Point
55.593726,37.53826,,Point
55.593726,37.53826,,Point
55.593726,37.53826,,Point
55.593726,37.53826,,Point
55.593726,37.53826,,Point
55.593726,37.53826,,Point
55.593726,37.53826,,Point
55.593726,37.53826,,Point
55.872082,37.704197,,Point
55.815782,37.789178,,Point
55.539966,37.539365,,Point
55.724256,37.420356,,Point
55.724256,37.420356,,Point
55.724256,37.420356,,Point
55.749309,37.59021,,Point
55.78643,37.455031,,Point
55.814482,37.654143,,Point
55.789952,37.63641,,Point
55.845132,37.483247,,Point
55.845132,37.483247,,Point
55.677539,37.634398,,Point
55.677539,37.634398,,Point
55.677539,37.634398,,Point
55.677539,37.634398,,Point
55.677539,37.634398,,Point
55.677539,37.634398,,Point
55.677539,37.634398,,Point
55.677539,37.634398,,Point
55.677539,37.634398,,Point
55.845279,37.565111,,Point
55.845279,37.565111,,Point
55.845279,37.565111,,Point
55.717416,37.644558,,Point
55.717416,37.644558,,Point
55.717416,37.644558,,Point
55.717416,37.644558,,Point
55.717416,37.644558,,Point
55.717416,37.644558,,Point
55.717416,37.644558,,Point
